NOMBRE,FAMILIA,PRECIO_COMPRA,PRECIO_COMPRA_IVA,PRECIO_VENTA,IVA,MARGEN_AJUSTADO,MARGEN,EAN,ALTA,CANTIDAD,CANTIDAD_RESTOCK,PROVEEDOR,,P_COMPRA,PRECIO_COMPRA_CALC,Redo
SOSA CAUSTICA,OTROS,2.27,2.7467,2.75,21,20,0.120144173,8421960002552,,0,20,,,0,1.893939394,1.89
FORZA LIMPIAHORNOS SPRAY 18 ONZAS,DROGUERIA,3.48,4.2108,5.67,21,20,34.65374751,5000204805987,,0,20,CASALMA S.L.,,3.48,3.48,3.48
CUCAL SPRAY 400ML,DROGUERIA,2.51,3.0371,3.85,21,20,26.76566461,8436032711300,,0,20,CASALMA S.L.,,2.51,2.51,2.51
INSECTICIDA CASA JARDIN ROSAS,DROGUERIA,1.95,2.3595,3.1,21,20,31.38376775,8410189200009,,0,20,CASALMA S.L.,,1.95,1.95,1.95
INSECTICIDA ORO MOSCAS Y MOSQUITOS,DROGUERIA,1.45,1.7545,2.8,21,20,59.58962667,8410498010689,,0,20,CASALMA S.L.,,1.45,1.45,1.45
LIMPIAHORNOS ORO 300ML,DROGUERIA,0.9,1.089,1.49,21,20,36.82277319,8410498030601,,0,20,CASALMA S.L.,,0.9,0.9,0.9
LAVAVAJILLAS FINISH 30 PASTILLAS,DROGUERIA,3.56,4.3076,4.69,21,20,8.877333086,8410104124250,,0,20,CASALMA S.L.,,3.56,3.56,3.56
LAVAVAJILLAS FLOTA 20 CAPSULAS,DROGUERIA,2.17,2.6257,3.35,21,20,27.58502495,8410046611214,,0,20,CASALMA S.L.,,2.17,2.17,2.17
DISCOS DESMAQUILLANTES DEMAK-UP,DROGUERIA,0.92,1.1132,1.5,21,20,34.74667625,3228061018506,,0,20,CASALMA S.L.,,0.92,0.92,0.92
BASTONCILLOS BEL,DROGUERIA,0.65,0.7865,1.55,21,20,97.07565162,4046871009229,,0,20,CASALMA S.L.,,0.65,0.65,0.65
SAL 2 KG. LAVAVAJILLAS DIRANZO,DROGUERIA,1.16,1.4036,1.4,21,20,-0.2564833286,8412813009026,,0,20,,,0,0.9641873278,0.96
COLGATE BLANQUEADOR BICARBONATO 75 ML.,DROGUERIA,0.67,0.8107,1,21,20,23.35019119,8718951114906,,0,20,CASALMA S.L.,,0.67,0.67,0.67
DENTIFRICO CLOROFILA LICOR DEL POLO,DROGUERIA,0.7,0.847,1,21,20,18.06375443,8410642103106,,0,20,CASALMA S.L.,,0.7,0.7,0.7
CEPILLO DENTAL PREMIER COLGATE,DROGUERIA,0.31,0.3751,1,21,20,166.5955745,8714789733487,,0,20,ALMACENES ESCRIBANO S.A.,,0.31,0.31,0.31
MASCARILLAS QUIRURGICAS,DROGUERIA,1.08,1.1232,1.35,4,20,20.19230769,6973512356689,,0,20,PRINCESALISIMO S.L.,,1.08,1.08,1.08
TOALLITAS DODOT 64 UNID,OTROS,1.2,1.452,1.45,21,20,-0.1377410468,8001090134226,,0,20,,,0,0.9986225895,1
TOALLITAS BEBE MAXIPACK NENUCO 108 UN.,OTROS,2.19,2.6499,2.65,21,20,0.00377372731,8410104436643,,0,20,,,0,1.825068871,1.83
TOALLITAS FACIALES DESMAQUILLANTES,OTROS,0.83,1.0043,1,21,20,-0.4281589167,8410800067684,,0,20,,,0,0.6887052342,0.69
TOALLITAS BEBE DODOT 54 UNI,DROGUERIA,0.71,0.8591,1,21,20,16.40088465,8001090139504,,0,20,CASALMA S.L.,,0.71,0.71,0.71
TOALLITAS RENOVA KID'S,OTROS,0.83,1.0043,1,21,20,-0.4281589167,5601028005715,,0,20,,,0,0.6887052342,0.69
SCOTTEX COCINA MEGAROLLO,DROGUERIA,0.62,0.7502,1,21,20,33.29778726,5029053028651,,0,20,CASALMA S.L.,,0.62,0.62,0.62
AGRADO MASCARILLA PELO CON KERATINA,DROGUERIA,1.55,1.8755,2.5,21,20,33.29778726,8433295048273,,0,20,CASALMA S.L.,,1.55,1.55,1.55
AGRADO GEL DE BAÐO ALOE VERA,DROGUERIA,0.69,0.8349,1.09,21,20,30.55455743,8433295043827,,0,20,CASALMA S.L.,,0.69,0.69,0.69
GEL DUCHA NATURAL HONEY FRUTOS ROJOS,DROGUERIA,1.05,1.2705,1.85,21,20,45.61196379,8008970052908,,0,20,ALMACENES ESCRIBANO S.A.,,1.05,1.05,1.05
GEL TULIPAN NEGRO ORIGINAL,DROGUERIA,0.99,1.1979,1.6,21,20,33.56707572,8410751099017,,0,20,ALMACENES EUROPAMAN 2017 S.L.,,0.99,0.99,0.99
GEL TULIPAN NEGRO CANDY FANTASI PIRULETA,OTROS,1.16,1.4036,1.4,21,20,-0.2564833286,8410751099161,,0,20,,,0,0.9641873278,0.96
GEL TULIPAN NEGRO CREMA DE JABON,OTROS,1.16,1.4036,1.4,21,20,-0.2564833286,8410751099178,,0,20,,,0,0.9641873278,0.96
GEL TULIPAN NEGRO KISS FRESA Y NATA,DROGUERIA,0.99,1.1979,1.6,21,20,33.56707572,8410751099086,,0,20,CASALMA S.L.,,0.99,0.99,0.99
GEL MOUSSEL CLASSIQUE,DROGUERIA,1.49,1.8029,2.38,21,20,32.00954019,8711600962361,,0,20,CASALMA S.L.,,1.49,1.49,1.49
LISTERINE ENJUAGUE BUCAL,DROGUERIA,3.12,3.7752,3.99,21,20,5.689764781,3574661118437,,0,20,CASALMA S.L.,,3.12,3.12,3.12
DON AHORRO FREGA SUELOS ROSA,DROGUERIA,0.69,0.8349,1.09,21,20,30.55455743,8421335005553,,0,20,CASALMA S.L.,,0.69,0.69,0.69
DON AHORRO FREGASUELOS NARANJA,DROGUERIA,0.69,0.8349,1.09,21,20,30.55455743,8421335005560,,0,20,CASALMA S.L.,,0.69,0.69,0.69
GEL DE DUCHA PALMOLIVE,OTROS,1.77,2.1417,2.15,21,20,0.3875426063,8714789999029,,0,20,,,0,1.480716253,1.48
ESTROPAJOS PLA,DROGUERIA,0.83,1.0043,1,21,20,-0.4281589167,8411373001419,,0,20,,,0,0.6887052342,0.69
GEL DERMO PROTECTOR SANEX,DROGUERIA,1.62,1.9602,2.46,21,20,25.49739822,8718951184220,,0,20,CASALMA S.L.,,1.62,1.62,1.62
LACA NELLY,DROGUERIA,1.29,1.5609,1.98,21,20,26.84989429,8411322220281,,0,20,ALMACENES ESCRIBANO S.A.,,1.29,1.29,1.29
DESODORANTE AXE FRAIAS,OTROS,1.64,1.9844,1.99,21,20,0.2822011691,8712561249638,,0,20,,,0,1.370523416,1.37
MAQUINILLAS DE AFEIITAR GUILLETE BLUE 2,DROGUERIA,1.47,1.7787,2,21,20,12.44167088,3014260294243,,0,20,CASALMA S.L.,,1.47,1.47,1.47
COLONIA NENUCO AGUA DE COLONIA,DROGUERIA,1.69,2.0449,2.8,21,20,36.92601105,8410104102425,,0,20,ALMACENES ESCRIBANO S.A.,,1.69,1.69,1.69
PAPEL DE COCINA NOBAL,DROGUERIA,1.5,1.815,2.57,21,20,41.59779614,8436547160990,,0,20,CASALMA S.L.,,1.5,1.5,1.5
GIORGI ESPUMA 4 MAXI VOLUMEN ULTRAFUERTE,DROGUERIA,1.59,1.9239,2.3,21,20,19.5488331,8411135261792,,0,20,CASALMA S.L.,,1.59,1.59,1.59
ESPUMA DE AFEITAR GUILLET,DROGUERIA,0.68,0.8228,1.98,21,20,140.6417112,3014260000318,,0,20,CASALMA S.L.,,0.68,0.68,0.68
COLONIA FAMILIAR NUKY,OTROS,0.83,1.0043,1,21,20,-0.4281589167,8410757958783,,0,20,,,0,0.6887052342,0.69
TRESM+ CHAMPU LISO KERATINA,OTROS,4.7,5.687,5.7,21,20,0.2285915245,8710522755068,,0,20,,,0,3.925619835,3.93
PASTILLA JABON CAPRICHO,DROGUERIA,0.9,1.089,1.29,21,20,18.45730028,8410874001287,,0,20,CASALMA S.L.,,0.9,0.9,0.9
GIORGI GEL FIJADOR 2 FUERTE TUBO 150,DROGUERIA,1.49,1.8029,2.3,21,20,27.57224472,8411135263918,,0,20,CASALMA S.L.,,1.49,1.49,1.49
CHAMPU ANTIPIOJOS DRILO,OTROS,2.22,2.6862,2.69,21,20,0.1414637778,8410757962919,,0,20,,,0,1.85261708,1.85
DESODORANTE ROLON NIVEA,DROGUERIA,1.27,1.5367,1.95,21,20,26.89529511,4005900388513,,0,20,ALMACENES ESCRIBANO S.A.,,1.27,1.27,1.27
LOCION ANTIPIOJOS DRILO,OTROS,2.22,2.6862,2.69,21,20,0.1414637778,8410757962902,,0,20,,,0,1.85261708,1.85
H - S CHAMPU CLASICO 270 ML.,DROGUERIA,2.07,2.5047,2.99,21,20,19.37557392,4084500272040,,0,20,CASALMA S.L.,,2.07,2.07,2.07
CHAMPU PANTENE,DROGUERIA,1.75,2.1175,2.59,21,20,22.31404959,4084500284838,,0,20,CASALMA S.L.,,1.75,1.75,1.75
SALVASLIP AVEAX NORMAL,DROGUERIA,1.68,1.848,2.5,10,20,35.28138528,8410108125857,,0,20,CASALMA S.L.,,1.68,1.68,1.68
 EVAX FINA Y SEGURA NORMAL SIN ALAS 16 U,DROGUERIA,1.55,1.705,2.19,10,20,28.4457478,8410108006682,,0,20,ALMACENES EUROPAMAN 2017 S.L.,,1.55,1.55,1.55
COMPRESAS AUSONIA ANATOMICAS,DROGUERIA,0.95,1.045,1.35,10,20,29.18660287,8410108133289,,0,20,CASALMA S.L.,,0.95,0.95,0.95
EVAX COMPRESA NORMAL CON ALAS,DROGUERIA,1.55,1.705,2.08,10,20,21.9941349,4084500213845,,0,20,ALMACENES EUROPAMAN 2017 S.L.,,1.55,1.55,1.55
COMPRESAS AUSONIA DISCREET,DROGUERIA,1.86,2.046,2.99,10,20,46.13880743,4015400738152,,0,20,CASH HELLIN S.L.,,1.86,1.86,1.86
SERVILLETAS RENOVA GOLD,OTROS,1.24,1.5004,1.5,21,20,-0.02665955745,5601028007733,,0,20,,,0,1.033057851,1.03
SERVILETAS RENOVA ROSA 2 CAPAS,DROGUERIA,0.56,0.6776,1,21,20,47.57969303,5601028023542,,0,20,PRINCESALISIMO S.L.,,0.56,0.56,0.56
CAJA DE PAðUELOS COLOHOGAR,DROGUERIA,0.63,0.7623,1,21,20,31.18194936,8410469500102,,0,20,CASALMA S.L.,,0.63,0.63,0.63
PAPEL HIGIENICO NIICKY NATURE 6 ROLLOS,DROGUERIA,1.56,1.8876,2.29,21,20,21.31807586,8004260427951,,0,20,ALMACENES ESCRIBANO S.A.,,1.56,1.56,1.56
GAMUZAS ATRAPAPOLVO PLA,DROGUERIA,1.11,1.3431,1.35,21,20,0.5137368774,8411373002355,,0,20,CASALMA S.L.,,0,0.9297520661,0.93
GEL DUCHA NATURAL HONY HIDRATANTE,DROGUERIA,1.05,1.2705,1.85,21,20,45.61196379,8008970052281,,0,20,ALMACENES ESCRIBANO S.A.,,1.05,1.05,1.05
TAMPONES TAMPAX COMPAK NORMAL,OTROS,2.88,3.168,3.53,10,20,11.42676768,4015400715320,,0,20,,,0,2.674242424,2.67
TAMPONES TAMPAX COMPAK SUPER,DROGUERIA,3.18,3.498,3.89,10,20,11.20640366,4015400715443,,0,20,,,0,2.946969697,2.95
BALLETAS VILEDA SUAVE,DROGUERIA,0.97,1.1737,1.36,21,20,15.87288063,8410435207578,,0,20,CASALMA S.L.,,0.97,0.97,0.97
SPONTEX SALVAUÐAS,OTROS,1.31,1.5851,1.59,21,20,0.3091287616,9004380126708,,0,20,,,0,1.095041322,1.1
VILEDA SALVAUÐAS,OTROS,0.83,1.0043,1,21,20,-0.4281589167,4023103134133,,0,20,,,0,0.6887052342,0.69
PINZAS HALCON 24 PINZAS,OTROS,0.83,1.0043,1,21,20,-0.4281589167,8428376010041,,0,20,,,0,0.6887052342,0.69
CREMA HIDRATNATE NATURAL HONEY,OTROS,2.6,3.146,3.15,21,20,0.1271455817,8411126012310,,0,20,,,0,2.169421488,2.17
DESODORANTE FA SP LIMONES,DROGUERIA,1.01,1.2221,1.59,21,20,30.10391948,8410020802850,,0,20,ALMACENES ESCRIBANO S.A.,,1.01,1.01,1.01
DESORANTE SANEX SP 200 ML,DROGUERIA,1.53,1.8513,2.9,21,20,56.64668071,8714789784205,,0,20,ALMACENES ESCRIBANO S.A.,,1.53,1.53,1.53
DESODORANTE REXONA INVISIBLE W Y B,DROGUERIA,1.11,1.3431,2.29,21,20,70.50107959,8710447492208,,0,20,ALMACENES ESCRIBANO S.A.,,1.11,1.11,1.11
GEL DUCHA MAGNO CLASSIC,OTROS,1.65,1.9965,2,21,20,0.1753067869,8410436208611,,0,20,,,0,1.377410468,1.38
AFTERSUN ECRAN,OTROS,4.74,5.7354,5.75,21,20,0.254559403,8411135004993,,0,20,,,0,3.960055096,3.96
AGRADO JABON DE MANOS DOSIF 500 ML. VAIN,DROGUERIA,0.63,0.7623,1,21,20,31.18194936,8433295041809,,0,20,CASALMA S.L.,,0.63,0.63,0.63
SERVILLETAS BLANCA RENOVA,DROGUERIA,0.31,0.3751,0.5,21,20,33.29778726,5601028016742,,0,20,PRINCESALISIMO S.L.,,0.31,0.31,0.31
PAPEL HIGIENICO FOXY SEDA 6 R.,DROGUERIA,1.41,1.7061,2.69,21,20,57.66953871,8437005901476,,0,20,ALMACENES ESCRIBANO S.A.,,1.41,1.41,1.41
PAPEL HIGIENICO SCOTTEX 6 ROLLOS,DROGUERIA,0.78,0.9438,1.42,21,20,50.455605,5029053038438,,0,20,PRINCESALISIMO S.L.,,0.78,0.78,0.78
MOCHILA JHONSON'S,OTROS,8.64,10.4544,10.47,21,20,0.1492194674,3574661559605,,0,20,,,0,7.210743802,7.21
PAPEL COCINA NICKY LIMON,DROGUERIA,1.44,1.7424,2,21,20,14.78420569,8004260248532,,0,20,ALMACENES ESCRIBANO S.A.,,1.44,1.44,1.44
NOBAL PAPEL ALUMINIO 30 METROS,DROGUERIA,1.07,1.2947,1.59,21,20,22.8083726,8437010889530,,0,20,CASALMA S.L.,,1.07,1.07,1.07
FILM TRANSPARENTE NOVAL 30 METROS,DROGUERIA,0.54,0.6534,0.65,21,20,-0.5203550658,8437010889561,,0,20,CASALMA S.L.,,0,0.4476584022,0.45
PAðUELOS COLHOGAR COMPRIMIDO,DROGUERIA,0.36,0.4356,0.68,21,20,56.10651974,7322541146027,,0,20,CASALMA S.L.,,0.36,0.36,0.36
DON AHORRO VELON ROJO GIGANTE (4 DIAS),DROGUERIA,0.36,0.4356,0.61,21,20,40.03673095,8423695000063,,0,20,CASALMA S.L.,,0.36,0.36,0.36
COMIDA PERROS TANDY CACHORROS Y MADRES,OTROS,3.58,4.3318,4.34,21,20,0.1892977515,8480024839152,,0,20,,,0,2.988980716,2.99
COMIDA GATOS TANDY BUEY Y POLLO,OTROS,2.14,2.5894,2.59,21,20,0.02317139106,8480024839107,,0,20,,,0,1.783746556,1.78
COMIDA GATOS TANDY SALM ON Y ATUN,OTROS,2.14,2.5894,2.59,21,20,0.02317139106,8480024839138,,0,20,,,0,1.783746556,1.78
PAT+ GATOS TANDY BUEY,ALIMENTACION,0.2,0.22,0.3,10,20,36.36363636,8480024837288,,0,20,PRINCESALISIMO S.L.,,0.2,0.2,0.2
PATE GATOS TANDY SALMON,ALIMENTACION,0.2,0.242,0.3,21,20,23.96694215,8480024837332,,0,20,PRINCESALISIMO S.L.,,0.2,0.2,0.2
PATE GATOS TANDY POLLO,OTROS,0.25,0.3025,0.3,21,20,-0.826446281,8480024837295,,0,20,,,0,0.2066115702,0.21
BOCADITOS GATOS TANDY EN SALSA DE BUEY,OTROS,0.51,0.6171,0.62,21,20,0.4699400421,8480024837592,,0,20,,,0,0.4269972452,0.43
PAT+ PERROS TANDY BUEY,OTROS,0.51,0.6171,0.62,21,20,0.4699400421,8480024837349,,0,20,,,0,0.4269972452,0.43
BOCADITOS PERROS TANDY SALSA BUEY 1250 G,OTROS,1.34,1.6214,1.63,21,20,0.5304058221,8480024837851,,0,20,,,0,1.122589532,1.12
AGUA FONT VELLA PACK 6 UNIDADES,BEBIDAS,2.16,2.376,3.2,10,20,34.68013468,8410055150070,,0,20,PRINCESALISIMO S.L.,,2.16,2.16,2.16
AGUA LANJARON PACK 6 UNIDADES,BEBIDAS,0.36,0.396,3.1,10,20,682.8282828,8410728091136,,0,20,PRINCESALISIMO S.L.,,0.36,0.36,0.36
AGUA SOLAN DE CABRAS PACK 6 UNIDADES,OTROS,3.14,3.454,3.84,10,20,11.17544876,8411547001092,,0,20,,,0,2.909090909,2.91
AGUA OROTANA PACK 6 UNIDADES,BEBIDAS,0.97,1.067,1.4,10,20,31.20899719,8414317000301,,0,20,COMERCIAL PLASENCIA S.L.,,0.97,0.97,0.97
AGUA AQUAREL PACK 6 UNIDADES,BEBIDAS,1.38,1.518,2.55,10,20,67.98418972,3700123300021,,0,20,PRINCESALISIMO S.L.,,1.38,1.38,1.38
BOTELLA AGUA SOLAN DE CABRAS 1.5 L,OTROS,0.57,0.627,0.7,10,20,11.64274322,8411547001085,,0,20,,,0,0.5303030303,0.53
BOTELLA AGUA OROTANA 1.5 L,BEBIDAS,0.17,0.187,0.45,10,20,140.6417112,8414317011123,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.17,0.17,0.17
BOTELLA AGUA BEZOYA 1.5 L,BEBIDAS,0.4,0.44,0.6,10,20,36.36363636,8410128000400,,0,20,QUALIANZA S. IN. DIST S.L.U,,0.4,0.4,0.4
BOTELLA LANJARON 1.5 L,BEBIDAS,0.37,0.407,0.6,10,20,47.42014742,8410728180120,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0.37,0.37,0.37
BOTELLA AGUA FONT VELLA 1.5 L,BEBIDAS,0.37,0.407,0.6,10,20,47.42014742,8410055150018,,0,20,PRINCESALISIMO S.L.,,0.37,0.37,0.37
BOTELLA AGUA AQUAREL 1.5 L,BEBIDAS,0.25,0.275,0.5,10,20,81.81818182,3700123300014,,0,20,PRINCESALISIMO S.L.,,0.25,0.25,0.25
FONT VELLA LIMON 1.25,BEBIDAS,0.75,0.9075,1.39,21,20,53.16804408,8410055885101,,0,20,PRINCESALISIMO S.L.,,0.75,0.75,0.75
AGUA BENASSAL 1.5,OTROS,0.51,0.561,0.62,10,20,10.51693405,8424553985379,,0,20,,,0,0.4696969697,0.47
AGUA BENASSAL PACK 6,OTROS,3.04,3.344,3.72,10,20,11.24401914,8424553921858,,0,20,,,0,2.818181818,2.82
CODILLO DE CERDO CONFITADAS CASCAJARES,OTROS,4.17,4.587,5.1,10,20,11.18378025,8431562180282,,0,20,,,0,3.863636364,3.86
COSTILLA DE CERDO CON SALSA BBQCASCAJAR,OTROS,3.88,4.268,4.75,10,20,11.29334583,8431562180329,,0,20,,,0,3.598484848,3.6
ENSALADA DE AHUMADOS DON ADRIAN,NEVERA,1.62,1.782,2.4,10,20,34.68013468,8437606838058,,0,20,JM DISTRIBUCIONES S.A.,,1.62,1.62,1.62
MOJAMA DE ATUN DON ADRIAN,NEVERA,1.82,2.002,2.7,10,20,34.86513487,8437006831086,,0,20,JM DISTRIBUCIONES S.A.,,1.82,1.82,1.82
CANELONES DE CARNE COFRESCA,OTROS,1.84,2.024,2.25,10,20,11.16600791,8437014724219,,0,20,,,0,1.704545455,1.7
BACON SABOR AHUMADO,OTROS,0.69,0.759,1.3,10,20,71.27799736,8410320175647,,0,20,,,0.69,0.69,0.69
WIENERS CLASSIC OSCAR MAYER,OTROS,0.97,1.067,1.19,10,20,11.52764761,84150172,,0,20,,,0,0.9015151515,0.9
BANDEJA BBQ SERRANO,OTROS,2,2.2,2.45,10,20,11.36363636,8411030010129,,0,20,,,0,1.856060606,1.86
PIMIENTO ROJO Y VERDE ASADO VICASOL,NEVERA,2.28,2.508,2.79,10,20,11.24401914,8429259437894,,0,20,JM DISTRIBUCIONES S.A.,,0,2.113636364,2.11
SALCHIHON DE PAVO SERRANO,OTROS,1.02,1.122,1.25,10,20,11.40819964,8411030042137,,0,20,,,0,0.946969697,0.95
JAM╦N CURADO CLASICO NAVIDUL,NEVERA,0.7,0.77,1,10,20,29.87012987,8410320127936,,0,20,JM DISTRIBUCIONES S.A.,,0.7,0.7,0.7
QUESO UNTAR PHILADELPHIA ORIGINAL,NEVERA,1.53,1.5912,1.89,4,20,18.77828054,7622210103314,,0,20,JM DISTRIBUCIONES S.A.,,0,1.514423077,1.51
MORTERO ALLIOLI CHOVI,ALIMENTACION,0.79,0.869,1.49,10,20,71.46144994,8410422111048,,0,20,PRINCESALISIMO S.L.,,0.79,0.79,0.79
TORTILLA DE PATATA Y CEBOLLA,NEVERA,2.07,2.277,2.73,10,20,19.89459816,8436027240037,,0,20,JM DISTRIBUCIONES S.A.,,2.07,2.07,2.07
SOBRASADA LOS QUIJALES,OTROS,1.07,1.177,1.31,10,20,11.29991504,8412157000109,,0,20,,,0,0.9924242424,0.99
QUESO HAVARTI LONCHAS MILL-N VICENTE,OTROS,0.92,1.012,1.12,10,20,10.67193676,8436010211204,,0,20,,,0,0.8484848485,0.85
PECHUGA POLLO CAMPOFRIO,OTROS,0.82,0.902,1,10,20,10.86474501,8410320187862,,0,20,,,0,0.7575757576,0.76
JAMON COCIDO CAMPOFRIO,NEVERA,0.7,0.77,1,10,20,29.87012987,8410320111737,,0,20,JM DISTRIBUCIONES S.A.,,0.7,0.7,0.7
CHORIZO TRADICIO╦N REVILLA,NEVERA,0.7,0.77,1,10,20,29.87012987,8410320035620,,0,20,JM DISTRIBUCIONES S.A.,,0.7,0.7,0.7
SALAMI EXTRA REVILLA,NEVERA,0.82,0.902,1,10,20,10.86474501,8410320135733,,0,20,JM DISTRIBUCIONES S.A.,,0,0.7575757576,0.76
CHORIZO PAMPLONA REVILLA,OTROS,0.82,0.902,1,10,20,10.86474501,8410320135757,,0,20,,,0,0.7575757576,0.76
SALCHICH╦N EXTRA REVILLA,OTROS,0.82,0.902,1,10,20,10.86474501,8410320135740,,0,20,,,0,0.7575757576,0.76
TARRINA BOQUERONES 100 GRS,OTROS,2.17,2.387,2.65,10,20,11.01801424,8429774206067,,0,20,,,0,2.007575758,2.01
TARRINA ESGARRAET 100 GR,OTROS,1.63,1.793,2,10,20,11.54489682,23042021,,0,20,,,0,1.515151515,1.52
LOMO DE CAðA NAVIDUL 45 GR,OTROS,0.82,0.902,1,10,20,10.86474501,8410320138697,,0,20,,,0,0.7575757576,0.76
LONGANIZA DEL PIRINEO NAVIDUL,OTROS,0.82,0.902,1,10,20,10.86474501,8410320285544,,0,20,,,0,0.7575757576,0.76
LOMO DE PAVO SERRANO,OTROS,1.63,1.793,2,10,20,11.54489682,8411030015377,,0,20,,,0,1.515151515,1.52
TABLA DE EMBUTIDOS PALCARSA,OTROS,0.82,0.902,1,10,20,10.86474501,8412877006696,,0,20,,,0,0.7575757576,0.76
JAMON CURADO 250 GR SIERRA VELLA,OTROS,2.49,2.739,3.05,10,20,11.35450894,8436532286254,,0,20,,,0,2.310606061,2.31
BACALADO DESMIGADO 80 GR SALAZON ALFONS,OTROS,1.31,1.441,1.6,10,20,11.03400416,8429774305012,,0,20,,,0,1.212121212,1.21
MOUSE DE FOIE DE PATO AOSTE,OTROS,1.1,1.21,1.35,10,20,11.57024793,8410320005807,,0,20,,,0,1.022727273,1.02
QUESO LA CABRA FELIZ,NEVERA,2.66,2.926,3.65,10,20,24.74367738,8413556001216,,0,20,JM DISTRIBUCIONES S.A.,,2.66,2.66,2.66
QUESO CURADO GRANJA RINYA,NEVERA,1.76,1.936,2.15,10,20,11.05371901,8437017857402,,0,20,DISTRIBUCIONS RIBERA DEL XUQUER S.L.,,0,1.628787879,1.63
QUESITOS EL CASERIO,ALIMENTACION,0.8,0.832,1.1,4,20,32.21153846,8410172462810,,0,20,PRINCESALISIMO S.L.,,0.8,0.8,0.8
NATA LIGERA RENY PICOT,NEVERA,0.86,0.946,1.15,10,20,21.56448203,8410379941033,,0,20,JM DISTRIBUCIONES S.A.,,0.86,0.86,0.86
QUESO FRESCO SAN VICENTE,OTROS,1.25,1.3,1.55,4,20,19.23076923,8420708018763,,0,20,,,0,1.241987179,1.24
QUESO AZUL CASTELLO DANABLU,NEVERA,1.07,1.1128,1.55,4,20,39.28828181,5760466860369,,0,20,JM DISTRIBUCIONES S.A.,,1.07,1.07,1.07
MARGARINA FLORA,OTROS,1.22,1.342,1.49,10,20,11.02831595,8719200050174,,0,20,,,0,1.128787879,1.13
MOZZARELLA RALLADO MILLAN VICENTE,OTROS,1.82,1.8928,2.25,4,20,18.8715131,8436010216049,,0,20,,,0,1.802884615,1.8
SEMICURADO QUESO RALLADO G BAQUERO,OTROS,1.01,1.0504,1.25,4,20,19.00228484,8412289005874,,0,20,,,0,1.001602564,1
TULIPAN,OTROS,0.89,0.979,1.09,10,20,11.3381001,8719200039308,,0,20,,,0,0.8257575758,0.83
PECHUGA DE PAVO,OTROS,1.63,1.793,2,10,20,11.54489682,8410843107088,,0,20,,,0,1.515151515,1.52
QUESO RALLADO ESPECIAL PASTA M&M SIN GL,OTROS,0.85,0.884,1.05,4,20,18.77828054,8425128160047,,0,20,,,0,0.8413461538,0.84
ANCHOAS REZUMAR,OTROS,1.84,2.024,2.25,10,20,11.16600791,8412369130182,,0,20,,,0,1.704545455,1.7
QUESO SEMICURADO 200G.,ALIMENTACION,1.59,1.749,1.95,10,20,11.4922813,8436559632867,,0,20,,,0,1.477272727,1.48
QUESO SEMICURADO GARCIA BAQUERO,OTROS,2.86,3.146,3.5,10,20,11.25238398,8412289001500,,0,20,,,0,2.651515152,2.65
VERDURA PARA PAELLA JV,OTROS,0.88,0.9152,1.09,4,20,19.09965035,8413993370456,,0,20,,,0,0.8733974359,0.87
GUISANTES CONGELADO JV,OTROS,0.72,0.7488,0.89,4,20,18.85683761,8413993100459,,0,20,,,0,0.7131410256,0.71
GARROFON JV,CONGELADOS,1.2,1.248,1.5,4,20,20.19230769,8413993365452,,0,20,SILOMAR ALIMENTACION S.L.U.,,1.2,1.2,1.2
JUDIA VERDE ENTERA JV,OTROS,1.46,1.5184,1.8,4,20,18.54583772,8413993020375,,0,20,,,0,1.442307692,1.44
PREPARADO PARA PAELLA SILOMAR,OTROS,4.41,4.851,5.4,10,20,11.31725417,8410053151840,,0,20,,,0,4.090909091,4.09
PATATAS CORTE CLASICO EUROFRITS,OTROS,1.15,1.196,1.42,4,20,18.72909699,8427318105005,,0,20,,,0,1.137820513,1.14
PREPARADO FIDEUA 330GR,CONGELADOS,1.55,1.705,2.8,10,20,64.2228739,8410053150911,,0,20,SILOMAR ALIMENTACION S.L.U.,,1.55,1.55,1.55
FILETE DE MERLUZA SIN PIEL SILOMAR,CONGELADOS,3.3,3.63,4.36,10,20,20.11019284,8410053150768,,0,20,SILOMAR ALIMENTACION S.L.U.,,3.3,3.3,3.3
PUNTILLA SILOMAR 500 GR,OTROS,2.44,2.684,2.99,10,20,11.40089419,8410053154742,,0,20,,,0,2.265151515,2.27
PREPARADO ENSALADILLA,OTROS,0.65,0.676,0.8,4,20,18.34319527,8413993070455,,0,20,,,0,0.641025641,0.64
MUSLITOS CANGEJO SILOMAR,OTROS,1.46,1.606,1.79,10,20,11.45703611,8412098011400,,0,20,,,0,1.356060606,1.36
GARBAMZOS CONGELADOS JV,OTROS,0.97,1.0088,1.2,4,20,18.95321174,8413993345454,,0,20,,,0,0.9615384615,0.96
PALITOS DE MAR SILOMAR,OTROS,0.98,1.078,1.2,10,20,11.31725417,8412098044934,,0,20,,,0,0.9090909091,0.91
ESPINACAS 400GR,OTROS,0.64,0.6656,0.79,4,20,18.68990385,8413993330450,,0,20,,,0,0.6330128205,0.63
LIMON GRANIZADO,OTROS,1.9,2.299,2.3,21,20,0.04349717268,84101,,0,20,,,0,1.584022039,1.58
